OBJECTID,ADDRESS,CITY,COUNTY,OWNER,PHONE,SWING,AGENCY,CONTACT,LAST_UPDT,XY_SOURCE,XY_ISSUES,ATT_SOURCE,ATT_ISSUES,COMMENTS,FACILITYID,FACILITY,ZIP_CODE,OPERATOR,DEEMED,LIC_TYPE,ACUTE,ACUTE_REHAB,CRITICAL_ACCESS,CHEM_DEPEND,FSED,PSYCH_GENERAL,PSYCH_GERIATRIC,PSYCH_ADULT,PSYCH_ADOLESCENT,PSYCH_CHILD,TB,REHAB,LICENSE_EXP,DATECREATED,DATEMODIFIED
"100",153 Dowell Rd,Russell Springs,Russell,"Russell County Hospital District Health Facility Corporation, Inc.",270-866-4141,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"600081",Russell County Hospital,"42642",Scott Thompson,N,CAH,"0","0","25","0",N,"0","0","0","0","0","0","0",2020/06/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"101",1140 Lexington Rd,Georgetown,Scott,"Georgetown Community, Llc",502-868-1100,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100380",Georgetown Community Hospital,"40324",William Haugh,Y,ACUTE,"75","0","0","0",N,"0","0","0","0","0","0","0",2020/03/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"102",727 Hospital Dr,Shelbyville,Shelby,Jewish Hospital & St. Mary's HealthCare  Inc.,502-647-4300,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100385",Jewish Hospital Shelbyville,"40065",Anessa Baker,Y,ACUTE,"70","0","0","0",N,"0","0","0","0","0","0","0",2020/06/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"103",1100 Brookhaven Rd,Franklin,Simpson,"The Medical Center At Franklin, Inc",270-598-4800,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"600069",The Medical Center At Franklin,"42134",Anette Runyon,Y,CAH,"0","0","25","0",N,"0","0","0","0","0","0","0",2021/02/28 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"104",1700 Old Lebanon Rd,Campbellsville,Taylor,Taylor Co Hosp Dist Health Facilities Corp,270-465-3561,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100394",Taylor Regional Hospital,"42718",Jane Wheatley,Y,ACUTE,"90","0","0","0",N,"0","0","0","0","0","0","0",2020/07/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"105",254 Main St,Cadiz,Trigg,Trigg County Hospital Inc,270-522-3215,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"600055",Trigg County Hospital Inc.,"42211",John Sumner,N,CAH,"0","0","25","0",N,"0","0","0","0","0","0","0",2020/11/30 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"106",4604 U.S. Hwy 60W,Morganfield,Union,Community United Methodist Hospital Inc,270-389-3030,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"600057",Methodist Hospital Union County,"42437",Lynn  Steinwachs,Y,CAH,"0","0","25","0",N,"0","0","0","0","0","0","0",2020/12/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"107",250 Park St #B-14,Bowling Green,Warren,B G Warren County Comm Hosp Corp,270-745-1000,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100404",The Medical Center at Bowling Green,"42101",Connie Smith,Y,ACUTE,"313","0","0","0",N,"24","0","0","0","0","0","0",2021/02/28 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"108",1035 Porter Pike,Bowling Green,Warren,"UHS of Bowling Green, LLC",270-843-1199,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100564",Rivendell Behavioral Health Services,"42103",Matt  Ours,Y,PSY,"0","0","0","0",N,"72","0","0","53","0","0","0",2021/01/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"109",1300 Campbell Ln,Bowling Green,Warren,"1300 Campbell Lane Operating Company, LLC",270-782-6900,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100655",Southern Kentucky Rehabilitation Hospital,"42104",Stuart Locke,Y,REHAB,"0","0","0","0",N,"0","0","0","0","0","0","60",2020/08/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"110",1301 N Race St,Glasgow,Warren,"T J Samson Community Hospital, Inc.",270-651-4159,N,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100016",T J Samson Community Hospital,"42141",Bud Wethington,Y,ACUTE,"180","0","0","0",N,"0","0","0","0","0","0","0",2020/12/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"111",1801 Ashley Circle,Bowling Green,Warren,Greenview Hospital Inc,270-793-1000,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100406",TriStar Greenview Regional Hospital,"42104",Mike Sherrod,Y,ACUTE,"211","0","0","0",Y,"0","0","0","0","0","0","0",2021/02/28 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"112",166 Hospital St,Monticello,Wayne,"Wayne County Hospital, Inc.",606-348-9343,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"600074","Wayne County Hospital, Inc.","42633",Joe Murrell,Y,CAH,"0","0","25","0",N,"0","0","0","0","0","0","0",2020/03/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"113",360 Amsden Ave,Versailles,Woodford,Woodford  Hospital Llc,859-879-2300,Y,COT/GIS,KIM ANNESS,2020/03/18 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"600059",Bluegrass Community Hospital,"40383",Tommy Haggard,N,CAH,"0","0","25","0",N,"0","0","0","0","0","0","0",2020/12/31 00:00:00+00,2019/10/16 00:00:00+00,2020/03/18 00:00:00+00
"114",910 Wallace Avenue,Leitchfield,Grayson,Grayson County Hospital Foundation Inc,270-259-9400,Y,COT/GIS,KEVIN HOGUE,2020/07/16 00:00:00+00,GPS LOCATIONS FOR FRONT DOOR COLLECTED BY CHFS STATE HEALTH OPERATIONS CENTER,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100151",Twin Lakes Regional Medical Center,"42754",Wayne Meriwether,Y,ACUTE,"75","0","0","0",N,"0","0","0","0","0","0","0",2020/01/31 00:00:00+00,2020/07/16 00:00:00+00,2020/07/16 00:00:00+00
"115",1612 Dawkins Road,Lagrange,Oldham,Commonwealth of KY,502-222-7161,N,COT/GIS,LUCAS GRAHAM,2023/12/08 00:00:00+00,ESTIMATED LOCATION OF FRONT OF DOOR FROM AERIAL IMAGERY,,CHFS OFFICE OF INSPECTOR GENERAL,,,"100528",Kentucky Correctional Psychiatric Center,"40031",Greg Taylor,N,PSY,"0","0","0","0","0","97",,"0","0","0","0","0",2024/01/31 00:00:00+00,2023/12/08 00:00:00+00,2023/12/08 00:00:00+00
